epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.6237,0.98756,0.94353,1,0.15138,0.000326241,0.000326241,0.000326241
2,25.4609,0.21779,0.95294,1,0.09564,0.000646515,0.000646515,0.000646515
3,35.5615,0.16635,0.88941,1,0.42343,0.000953589,0.000953589,0.000953589
4,45.5029,0.15284,0.92471,1,0.11643,0.0009406,0.0009406,0.0009406
5,55.6562,0.144,0.96941,1,0.11355,0.0009208,0.0009208,0.0009208
6,66.1045,0.11851,0.90118,1,0.28245,0.000901,0.000901,0.000901
7,76.8871,0.12399,0.97412,1,0.07512,0.0008812,0.0008812,0.0008812
8,87.568,0.09464,0.96941,1,0.06639,0.0008614,0.0008614,0.0008614
9,99.4045,0.09315,0.97647,1,0.06445,0.0008416,0.0008416,0.0008416
10,110.584,0.08634,0.96471,1,0.0912,0.0008218,0.0008218,0.0008218
11,121.561,0.08247,0.97882,1,0.05812,0.000802,0.000802,0.000802
12,132.719,0.08892,0.97176,1,0.06415,0.0007822,0.0007822,0.0007822
13,143.962,0.08867,0.97176,1,0.08016,0.0007624,0.0007624,0.0007624
14,155.98,0.09963,0.97412,1,0.09567,0.0007426,0.0007426,0.0007426
15,167.546,0.08079,0.97412,1,0.07554,0.0007228,0.0007228,0.0007228
16,179.056,0.09928,0.96706,1,0.06749,0.000703,0.000703,0.000703
17,190.749,0.08846,0.97176,1,0.07532,0.0006832,0.0006832,0.0006832
18,202.567,0.10435,0.97176,1,0.06625,0.0006634,0.0006634,0.0006634
19,214.422,0.10353,0.97647,1,0.06351,0.0006436,0.0006436,0.0006436
20,226.15,0.08857,0.96941,1,0.07157,0.0006238,0.0006238,0.0006238
21,238.077,0.07419,0.97412,1,0.06512,0.000604,0.000604,0.000604
22,250.374,0.07094,0.97412,1,0.06915,0.0005842,0.0005842,0.0005842
23,262.474,0.07181,0.97647,1,0.06142,0.0005644,0.0005644,0.0005644
24,274.721,0.06752,0.97647,1,0.0719,0.0005446,0.0005446,0.0005446
25,286.922,0.06437,0.97647,1,0.06276,0.0005248,0.0005248,0.0005248
26,299.182,0.07213,0.98118,1,0.0573,0.000505,0.000505,0.000505
27,312.041,0.07257,0.97647,1,0.06103,0.0004852,0.0004852,0.0004852
28,326.192,0.07121,0.98118,1,0.05535,0.0004654,0.0004654,0.0004654
29,338.843,0.07387,0.97647,1,0.06449,0.0004456,0.0004456,0.0004456
30,351.231,0.06671,0.97882,1,0.05708,0.0004258,0.0004258,0.0004258
31,363.801,0.05897,0.97647,1,0.05816,0.000406,0.000406,0.000406
32,376.371,0.0652,0.97647,1,0.06036,0.0003862,0.0003862,0.0003862
33,389.241,0.07058,0.97412,1,0.06387,0.0003664,0.0003664,0.0003664
34,403.4,0.0615,0.97647,1,0.06014,0.0003466,0.0003466,0.0003466
35,416.223,0.0607,0.97882,1,0.05094,0.0003268,0.0003268,0.0003268
36,429.167,0.06136,0.97647,1,0.07334,0.000307,0.000307,0.000307
37,442.147,0.06427,0.97412,1,0.06108,0.0002872,0.0002872,0.0002872
38,456.156,0.05947,0.97647,1,0.05664,0.0002674,0.0002674,0.0002674
39,469.279,0.05929,0.97647,1,0.06088,0.0002476,0.0002476,0.0002476
40,482.082,0.05772,0.97412,1,0.06195,0.0002278,0.0002278,0.0002278
41,540.553,0.05941,0.97412,1,0.05669,0.000208,0.000208,0.000208
42,551.555,0.05355,0.97647,1,0.05111,0.0001882,0.0001882,0.0001882
43,563.228,0.0578,0.97647,1,0.05107,0.0001684,0.0001684,0.0001684
44,575.448,0.05615,0.97882,1,0.05427,0.0001486,0.0001486,0.0001486
45,587.753,0.05831,0.97647,1,0.05337,0.0001288,0.0001288,0.0001288
46,600.271,0.0572,0.97647,1,0.05866,0.000109,0.000109,0.000109
47,612.936,0.04919,0.97412,1,0.06496,8.92e-05,8.92e-05,8.92e-05
48,625.814,0.05405,0.97412,1,0.06736,6.94e-05,6.94e-05,6.94e-05
49,638.914,0.04906,0.97412,1,0.05907,4.96e-05,4.96e-05,4.96e-05
50,651.925,0.0517,0.97412,1,0.06339,2.98e-05,2.98e-05,2.98e-05
